Faculty/Portfolio,School/Division,Organisational Unit Title
Chief Financial Officer and Senior Vice-President,Financial Resources Management Division,
Chief Financial Officer and Senior Vice-President,Strategic Procurement,
Chief Financial Officer and Senior Vice-President,Business Strategy,
Chief Financial Officer and Senior Vice-President,Office of the Deputy Chief Financial Officer and Executive Director Corporate Finance Division,
Chief Financial Officer and Senior Vice-President,Capital Financing,
Chief Financial Officer and Senior Vice-President,Office of the Chief Financial Officer and Senior Vice-President,
Chief Operating Officer and Senior Vice-President,Student and Education Business Services,
Chief Operating Officer and Senior Vice-President,University Marketing Admissions and Communications (UMAC),
Chief Operating Officer and Senior Vice-President,Office of the Pro Vice-Chancellor (Major Campuses and Student Engagement),
Chief Operating Officer and Senior Vice-President,Planning and Commercial Services,
Chief Operating Officer and Senior Vice-President,Monash HR,
Chief Operating Officer and Senior Vice-President,Buildings and Property Division,
Chief Operating Officer and Senior Vice-President,Office of the Chief Operating Officer and Senior Vice-President,
Chief Operating Officer and Senior Vice-President,Student Conduct and Complaints,
Chief Operating Officer and Senior Vice-President,Campus Community Division,
Chief Operating Officer and Senior Vice-President,Office of the General Counsel,
eSolutions and Student Services,Student and Education Business Services,
eSolutions and Student Services,eSolutions,
eSolutions and Student Services,Flexible Administration Services Team (FAST),
eSolutions and Student Services,Monash Connect,
eSolutions and Student Services,Operational Resilience,
eSolutions and Student Services,eSolutions and Student Services,
eSolutions and Student Services,Strategic Operations,
eSolutions and Student Services,Enterprise Systems,
Faculty of Art Design and Architecture,Multimedia and Digital Arts,
Faculty of Art Design and Architecture,Department of Architecture,
Faculty of Art Design and Architecture,Dean Faculty of Art Design and Architecture,
Faculty of Art Design and Architecture,Department of Design,
Faculty of Art Design and Architecture,Art and Design Faculty Administrative Services,
Faculty of Art Design and Architecture,Department of Fine Art,
Faculty of Arts,Arts Research Graduate Sch,
Faculty of Arts,School of Media Film and Journalism,
Faculty of Arts,Centre for Theatre and Performance,
Faculty of Arts,Dean Faculty of Arts,
Faculty of Arts,Monash Indigenous Studies Centre (MISC),
Faculty of Arts,School of Languages Literature Cultures and Linguistics,
Faculty of Arts,Sir Zelman Cowen School of Music and Performance,
Faculty of Arts,Arts Faculty Office,
Faculty of Arts,School of Philosophical Historical and International Studies (SOPHIS),
Faculty of Arts,Monash Asia Institute,
Faculty of Arts,School of Social Sciences,
Faculty of Business and Economics,Business and Economics Finance Services,
Faculty of Business and Economics,Dean Faculty of Business and Economics,
Faculty of Business and Economics,Business and Economics Faculty Office,
Faculty of Business and Economics,Department of Management,
Faculty of Business and Economics,Department of Economics,
Faculty of Business and Economics,Department of Econometrics and Business Statistics,
Faculty of Business and Economics,MBA Program,
Faculty of Business and Economics,Department of Accounting,
Faculty of Business and Economics,Banking and Finance,
Faculty of Business and Economics,Monash Business School,
Faculty of Business and Economics,Business Law and Taxation,
Faculty of Business and Economics,Monash Centre for Financial Studies,
Faculty of Business and Economics,Impact Labs,
Faculty of Business and Economics,Centre for Health Economics,
Faculty of Business and Economics,Business and Economics External Engagement,
Faculty of Business and Economics,Department of Marketing,
Faculty of Business and Economics,Centre for Global Business,
Faculty of Business and Economics,Centre for Development Economics and Sustainability,
Faculty of Education,Elwyn Morey Centre,
Faculty of Education,Education Professional Experience,
Faculty of Education,Globalization Leadership and Policy,
Faculty of Education,Educational Psychology & Inclusive Education,
Faculty of Education,Edu Marketing and Student Recruitment,
Faculty of Education,Teacher Education Language Arts and Professional Learning,
Faculty of Education,Education Peninsula,
Faculty of Education,Education Faculty Activities,
Faculty of Education,Curriculum and Pedagogy,
Faculty of Education,Education Development and External Relations,
Faculty of Education,Maths Science and Technology,
Faculty of Education,Education Education Services,
Faculty of Education,Early Years,
Faculty of Education,Dean Faculty of Education,
Faculty of Education,School of Curriculum Teaching and Inclusive Education,
Faculty of Education,Education Faculty Development Office,
Faculty of Education,Education Financial Planning and Budgeting,
Faculty of Education,Education Psychology Activities,
Faculty of Education,Education Admissions and Student Services,
Faculty of Education,Education Campus Support,
Faculty of Education,Education Clayton,
Faculty of Education,Education Professional Practice,
Faculty of Education,School of Educational Psychology and Counselling,
Faculty of Education,Krongold Clinic,
Faculty of Education,Education Research Services,
Faculty of Education,School of Education Culture and Society,
Faculty of Engineering,Civil Engineering,
Faculty of Engineering,Materials Science and Engineering,
Faculty of Engineering,Engineering Academic and Student Services,
Faculty of Engineering,Engineering Finance and Resources,
Faculty of Engineering,Electrical and Computer Systems Engineering,
Faculty of Engineering,Chemical and Biological Engineering,
Faculty of Engineering,Engineering Office of the Dean,
Faculty of Engineering,ARC NanoComm Hub,
Faculty of Engineering,Mechanical and Aerospace Engineering,
Faculty of Engineering,Dean Faculty of Engineering,
Faculty of Engineering,Engineering Marketing and Student Recruitment,
Faculty of Engineering,Monash Institute of Medical Engineering MIME,
Faculty of Information Technology,Information Technology Faculty Office,
Faculty of Information Technology,Department of Software Systems and Cybersecurity,
Faculty of Information Technology,Dean Faculty of Information Technology,
Faculty of Information Technology,Department of Human Centred Computing,
Faculty of Information Technology,Department of Data Science and Artificial Intelligence,
Faculty of Information Technology,Information Technology Education (ED),
Faculty of Information Technology,Monash Energy Institute,
Faculty of Information Technology,Community Organisational and Social Informatics (COSI),
Faculty of Law,Springvale Monash Legal Services,
Faculty of Law,Law Research Services,
Faculty of Law,Law Finance and Resources,
Faculty of Law,Law Marketing and Engagement Services,
Faculty of Law,Law Experiential Education,
Faculty of Law,Law Education Services,
Faculty of Law,Dean Faculty of Law,
Faculty of Law,Law Faculty Office,
Faculty of Law,Law Resources,
Faculty of Law,Castan Centre for Human Rights Law,
Faculty of Medicine Nursing and Health Sciences,Eastern Health Clinical School,
Faculty of Medicine Nursing and Health Sciences,Centre to Impact Antimicrobial Resistance,
Faculty of Medicine Nursing and Health Sciences,Sub Faculty of Clinical and Molecular Medicine,
Faculty of Medicine Nursing and Health Sciences,Faculty of Medicine Nursing and Health Sciences Research Platforms,
Faculty of Medicine Nursing and Health Sciences,School of Primary and Allied Health Care,
Faculty of Medicine Nursing and Health Sciences,School of Rural Health,
Faculty of Medicine Nursing and Health Sciences,School of Biomedical Sciences,
Faculty of Medicine Nursing and Health Sciences,Australian Regenerative Medicine Institute,
Faculty of Medicine Nursing and Health Sciences,Sub Faculty of Health Sciences,
Faculty of Medicine Nursing and Health Sciences,School of Public Health and Preventive Medicine,
Faculty of Medicine Nursing and Health Sciences,School of Clinical Sciences at Monash Health,
Faculty of Medicine Nursing and Health Sciences,Central Clinical School,
Faculty of Medicine Nursing and Health Sciences,Dean Faculty of Medicine Nursing and Health Sciences,
Faculty of Medicine Nursing and Health Sciences,School of Nursing and Midwifery,
Faculty of Medicine Nursing and Health Sciences,MARP Directorate,
Faculty of Medicine Nursing and Health Sciences,Monash Institute of Medical Research,
Faculty of Medicine Nursing and Health Sciences,Sub Faculty of Translational Medicine and Public Health,
Faculty of Medicine Nursing and Health Sciences,School of Psychological Sciences,
Faculty of Medicine Nursing and Health Sciences,Medicine Nursing and Health Sciences Faculty Office,
Faculty of Pharmacy and Pharmaceutical Sciences,Neuromedicines Discovery Centre (NDC),
Faculty of Pharmacy and Pharmaceutical Sciences,Pharmacy and Pharmaceutical Sciences Education,
Faculty of Pharmacy and Pharmaceutical Sciences,Centre for Drug Candidate Optimisation,
Faculty of Pharmacy and Pharmaceutical Sciences,Experiential Development and Graduate Education,
Faculty of Pharmacy and Pharmaceutical Sciences,Centre for Medicine Use and Safety (CMUS),
Faculty of Pharmacy and Pharmaceutical Sciences,Dean Faculty of Pharmacy and Pharmaceutical Sciences,
Faculty of Pharmacy and Pharmaceutical Sciences,Medicinal Chemistry,
Faculty of Pharmacy and Pharmaceutical Sciences,Drug Discovery Biology,
Faculty of Pharmacy and Pharmaceutical Sciences,Pharmacy and Pharmaceutical Sciences Faculty Office,
Faculty of Pharmacy and Pharmaceutical Sciences,Drug Delivery Disposition and Dynamics,
Faculty of Science,School of Physics and Astronomy,
Faculty of Science,Securing Antarcticas Environmental Future (SAEF),
Faculty of Science,Science Faculty Office,
Faculty of Science,School of Earth Atmosphere and Environment,
Faculty of Science,The Monash Academy for Cross and Interdisciplinary Mathematical Applications (MAXIMA),
Faculty of Science,School of Mathematics,
Faculty of Science,School of Biological Sciences,
Faculty of Science,Dean Faculty of Science,
Faculty of Science,School of Chemistry,
Federation University Australia Gippsland,Federation University Australia Gippsland Residential Services,
Federation University Australia Gippsland,Federation University Australia Gippsland School of Information Technology,
Miscellaneous,Federation University Australia Gippsland,
Monash Affiliated Organisations,Mannix College,
Monash Affiliated Organisations,Victorian Tertiary Admissions Centre VTAC,
Monash Affiliated Organisations,Monash Tech School,
Monash Affiliated Organisations,John Monash Science School,
Monash Controlled Entities,Monash University European Research Foundation (MUERF),
Monash Controlled Entities,WMP Ltd,
Monash Controlled Entities,Monash College Pty Ltd,
Monash Student Organisations,Monash Student Association MSA,
Monash Student Organisations,Monash Student Union MONSU Peninsula,
Monash Student Organisations,Monash Postgraduate Association MPA,
Provost and Senior Vice-President,CRC for Water Sensitive Cities Ltd,
Provost and Senior Vice-President,Office of the Pro Vice-Chancellor (International),
Provost and Senior Vice-President,Office of the Vice-Provost (Academic Affairs),
Provost and Senior Vice-President,Institute of Vector Borne Disease (IVbD),
Provost and Senior Vice-President,Monash Sustainable Development Institute,
Provost and Senior Vice-President,Graduate Research Office,
Provost and Senior Vice-President,Monash University Library,
Provost and Senior Vice-President,Office of the Provost and Senior Vice-President,
Vice-Chancellor and President,Executive Services,
Vice-Chancellor and President,Advancement,
Vice-Chancellor and President,Risk and Compliance Unit,
Vice-Chancellor and President,Office of the Deputy Vice-Chancellor (Enterprise and Engagement) and Senior Vice-President,
Vice-Chancellor and President,Office of the Deputy Vice Chancellor (Research) and Senior Vice President,
Vice-Chancellor and President,Office of the Pro Vice-Chancellor (Indonesia),
Vice-Chancellor and President,Monash University Museum of Art,
Vice-Chancellor and President,Office of the Pro Vice-Chancellor (International),
Vice-Chancellor and President,Monash University Performing Arts Centres Operations,
Vice-Chancellor and President,Internal Audit,
Vice-Chancellor and President,Office of the Vice-Chancellor and President,
Vice-Chancellor and President,Office of the Pro Vice-Chancellor and President (Suzhou),
Vice-Chancellor and President,Office of the Deputy Vice-Chancellor (Education) and Senior Vice-President,
Vice-President (Services),Buildings and Property Division,
Vice-President (Services),Office of the Vice-President (Services),
Provost and Senior Vice-President,Monash University Library,360info
eSolutions and Student Services,eSolutions,Academic and Data Technology Services
eSolutions and Student Services,eSolutions,Academic and Data Technology Services Product Management
Chief Operating Officer and Senior Vice-President,Student and Education Business Services,Academic Dress
Vice-Chancellor and President,Office of the Deputy Vice-Chancellor (Education) and Senior Vice-President,Academic Programs and Governance
eSolutions and Student Services,Student Services,Academic Services and Analytics
Provost and Senior Vice-President,Monash University Library,Academic Services Division
Chief Operating Officer and Senior Vice-President,Monash HR,Access HR
Vice-Chancellor and President,Office of the Deputy Vice-Chancellor (Education) and Senior Vice-President,Access Inclusion and Success
Faculty of Medicine Nursing and Health Sciences,School of Public Health and Preventive Medicine,Acute and Critical Care
Faculty of Medicine Nursing and Health Sciences,Eastern Health Clinical School,Addiction Research Centre
Chief Operating Officer and Senior Vice-President,University Marketing Admissions and Communications (UMAC),Admissions
Chief Operating Officer and Senior Vice-President,Office of Student Recruitment and Admissions,Admissions
Vice-Chancellor and President,Advancement,Advancement Events
Vice-Chancellor and President,Advancement,Advancement Operations
Vice-Chancellor and President,Advancement,Alumni Engagement
Faculty of Medicine Nursing and Health Sciences,Central Clinical School,Anaesthesia Teaching and Research
Faculty of Medicine Nursing and Health Sciences,School of Biomedical Sciences,Anatomy and Developmental Biology
Faculty of Arts,School of Social Sciences,Anthropology
Faculty of Medicine Nursing and Health Sciences,Australian Regenerative Medicine Institute,ARMI (Sys Int Purposes)
Faculty of Arts,Arts Faculty Office,Arts Academic Services
Faculty of Arts,Arts Faculty Office,Arts Alumni and External Engagement
Faculty of Arts,Arts Faculty Office,Arts Educational Design
Faculty of Arts,Arts Faculty Office,Arts Engagement and Marketing Services
Faculty of Arts,Arts Faculty Office,Arts Facilities and Resources
Faculty of Arts,Arts Faculty Office,Arts Finance Resources and Planning
Faculty of Arts,Arts Faculty Office,Arts Global Programs
Faculty of Arts,Arts Faculty Office,Arts Planning and Performance
Faculty of Arts,Arts Faculty Office,Arts Research and Business Development
Faculty of Arts,Arts Faculty Office,Arts School Support
Faculty of Arts,Arts Faculty Office,Arts Student Support
Chief Financial Officer and Senior Vice-President,Office of the Deputy Chief Financial Officer and Executive Director Corporate Finance Division,Assets Accounting
eSolutions and Student Services,eSolutions,Audiovisual Engineering and Projects
eSolutions and Student Services,eSolutions,Audiovisual Operations
Provost and Senior Vice-President,Office of the Pro Vice-Chancellor (International),Australia-Indonesia Centre
Vice-Chancellor and President,Office of the Pro Vice-Chancellor (International),Australia-Indonesia Centre
Faculty of Medicine Nursing and Health Sciences,Central Clinical School,Australian Centre for Blood Diseases
Faculty of Arts,School of Philosophical Historical and International Studies (SOPHIS),Australian Centre for Jewish Civilisation
Faculty of Arts,School of Philosophical Historical and International Studies (SOPHIS),Australian Indigenous Archaeology
Provost and Senior Vice-President,Office of the Vice-Provost (Research and Research Infrastructure),Australian Research Data Commons (ARDC)
Vice-Chancellor and President,Office of the Deputy Vice Chancellor (Research) and Senior Vice President,Australian Research Data Commons (ARDC)
Faculty of Arts,School of Media Film and Journalism,Bachelor of Media Communications
Provost and Senior Vice-President,Monash Sustainable Development Institute,BehaviourWorks Australia
Vice-Chancellor and President,Office of the Deputy Vice Chancellor (Research) and Senior Vice President,BehaviourWorks Australia
Faculty of Medicine Nursing and Health Sciences,School of Biomedical Sciences,Biochemistry and Molecular Biology
Faculty of Medicine Nursing and Health Sciences,School of Biomedical Sciences,Biomedical Sciences Teaching
Faculty of Medicine Nursing and Health Sciences,Medicine Nursing and Health Sciences Faculty Office,BMedSc MD
Chief Operating Officer and Senior Vice-President,Buildings and Property Division,BPD Business Support
Vice-President (Services),Buildings and Property Division,BPD Business Support
Chief Operating Officer and Senior Vice-President,Buildings and Property Division,BPD Customer and Commercial
Chief Operating Officer and Senior Vice-President,Buildings and Property Division,BPD Planning
Vice-President (Services),Buildings and Property Division,BPD Planning
Chief Operating Officer and Senior Vice-President,Buildings and Property Division,BPD Projects
Vice-President (Services),Buildings and Property Division,BPD Projects
Chief Operating Officer and Senior Vice-President,Buildings and Property Division,BPD Services
Vice-President (Services),Buildings and Property Division,BPD Services
Faculty of Business and Economics,Business and Economics Faculty Office,Business and Economics Education Services
Faculty of Business and Economics,Business and Economics Faculty Office,Business and Economics Engagement Services
Faculty of Business and Economics,Business and Economics Faculty Office,Business and Economics Operational Services
Faculty of Business and Economics,Business and Economics Faculty Office,Business and Economics Performance and Quality Services
Faculty of Business and Economics,Business and Economics Faculty Office,Business and Economics Research Services
Faculty of Business and Economics,Business and Economics Faculty Office,Business and Economics Student Services
Vice-Chancellor and President,Office of the Pro Vice-Chancellor (Indonesia),Business Innovation Indonesia
eSolutions and Student Services,eSolutions,Business Intelligence and Analytics
eSolutions and Student Services,eSolutions,Business Performance
eSolutions and Student Services,eSolutions,Business Relationship Management
eSolutions and Student Services,eSolutions,Campus Enablement
Chief Operating Officer and Senior Vice-President,Campus Community Division,Campus Engagement
Vice-President (Services),Campus Community Division,Campus Engagement
Faculty of Business and Economics,Business and Economics Faculty Office,Capstone
eSolutions and Student Services,Monash Connect,Career Connect
eSolutions and Student Services,Student Services,Career Connect
Vice-President (Services),Campus Community Division,Career Connect
Provost and Senior Vice-President,Monash University Library,Caulfield Library
eSolutions and Student Services,eSolutions,Caulfield Service Centre
Faculty of Medicine Nursing and Health Sciences,Central Clinical School,Central Clincal School Clinical Trials
Faculty of Arts,School of Philosophical Historical and International Studies (SOPHIS),Centre for Consciousness and Contemplative Studies
Faculty of Medicine Nursing and Health Sciences,School of Clinical Sciences at Monash Health,Centre for Inflammatory Disease Monash Health
Faculty of Arts,School of Languages Literature Cultures and Linguistics,Centre for Japanese Language Education
Faculty of Arts,School of Social Sciences,Centre for Migration and Inclusion
Faculty of Medicine Nursing and Health Sciences,Central Clinical School,Centre for Obesity Research and Education
Faculty of Science,School of Mathematics,Centre for Quantitative Finance and Investment Strategies
Faculty of Arts,School of Philosophical Historical and International Studies (SOPHIS),Centre for Religious Studies
Faculty of Arts,Sir Zelman Cowen School of Music and Performance,Centre for Theatre and Performance
